id,EmployeeID,Date,Worked
1,22,1/8/2023,7
2,5,1/8/2023,8
3,32,1/8/2023,5
4,8,1/8/2023,0
5,31,1/8/2023,3
6,19,1/8/2023,4
7,42,1/8/2023,6
8,48,1/8/2023,4
9,44,1/8/2023,1
10,32,1/8/2023,5
11,4,1/8/2023,9
12,40,1/8/2023,7
13,4,1/8/2023,5
14,24,1/8/2023,0
15,22,1/8/2023,2
16,11,1/8/2023,1
17,25,1/8/2023,5
18,1,1/8/2023,8
19,24,1/8/2023,6
20,6,1/8/2023,7
21,22,1/8/2023,8
22,50,1/8/2023,8
23,17,1/8/2023,7
24,44,1/8/2023,3
25,50,1/8/2023,1
26,26,1/8/2023,0
27,10,1/8/2023,5
28,20,1/8/2023,4
29,8,1/8/2023,8
30,24,1/8/2023,4
31,20,1/8/2023,7
32,2,1/8/2023,2
33,17,1/8/2023,3
34,45,1/8/2023,0
35,31,1/8/2023,6
36,25,1/8/2023,2
37,32,1/8/2023,7
38,39,1/8/2023,8
39,32,1/8/2023,3
40,38,1/8/2023,2
41,25,1/8/2023,6
42,33,1/8/2023,7
43,2,1/8/2023,7
44,6,1/8/2023,6
45,1,1/8/2023,4
46,7,1/8/2023,1
47,39,1/8/2023,8
48,4,1/8/2023,9
49,40,1/8/2023,3
50,1,1/8/2023,8
51,20,1/8/2023,9
52,7,1/8/2023,2
53,12,1/8/2023,9
54,44,1/8/2023,4
55,28,1/8/2023,0
56,47,1/8/2023,2
57,35,1/8/2023,1
58,2,1/8/2023,6
59,32,1/8/2023,6
60,2,1/8/2023,9
61,19,1/8/2023,4
62,3,1/8/2023,3
63,15,1/8/2023,6
64,21,1/8/2023,4
65,20,1/8/2023,6
66,36,1/8/2023,8
67,13,1/8/2023,9
68,32,1/8/2023,7
69,39,1/8/2023,3
70,40,1/8/2023,5
71,44,1/8/2023,3
72,17,1/8/2023,7
73,29,1/8/2023,9
74,34,1/8/2023,2
75,12,1/8/2023,1
76,30,1/8/2023,1
77,29,1/8/2023,7
78,25,1/8/2023,3
79,8,1/8/2023,1
80,1,1/8/2023,1
81,18,1/8/2023,2
82,46,1/8/2023,7
83,37,1/8/2023,8
84,18,1/8/2023,7
85,22,1/8/2023,4
86,4,1/8/2023,8
87,19,1/8/2023,1
88,49,1/8/2023,2
89,7,1/8/2023,1
90,36,1/8/2023,3
91,47,1/8/2023,8
92,31,1/8/2023,5
93,27,1/8/2023,4
94,46,1/8/2023,5
95,2,1/8/2023,3
96,39,1/8/2023,7
97,35,1/8/2023,6
98,36,1/8/2023,4
99,50,1/8/2023,8
100,24,1/8/2023,3
101,26,1/8/2023,4
102,5,1/8/2023,4
103,30,1/8/2023,9
104,49,1/8/2023,1
105,11,1/8/2023,0
106,38,1/8/2023,2
107,8,1/8/2023,0
108,37,1/8/2023,0
109,33,1/8/2023,5
110,11,1/8/2023,7
111,33,1/8/2023,4
112,22,1/8/2023,3
113,33,1/8/2023,2
114,37,1/8/2023,2
115,15,1/8/2023,1
116,1,1/8/2023,8
117,17,1/8/2023,3
118,40,1/8/2023,9
119,33,1/8/2023,3
120,9,1/8/2023,7
121,42,1/8/2023,3
122,6,1/8/2023,1
123,20,1/8/2023,1
124,41,1/8/2023,5
125,43,1/8/2023,8
126,50,1/8/2023,8
127,2,1/8/2023,4
128,15,1/8/2023,6
129,10,1/8/2023,0
130,20,1/8/2023,5
131,4,1/8/2023,1
132,33,1/8/2023,3
133,9,1/8/2023,3
134,24,1/8/2023,8
135,40,1/8/2023,5
136,12,1/8/2023,6
137,44,1/8/2023,8
138,30,1/8/2023,5
139,35,1/8/2023,2
140,34,1/8/2023,1
141,40,1/8/2023,3
142,7,1/8/2023,0
143,22,1/8/2023,0
144,34,1/8/2023,3
145,46,1/8/2023,9
146,3,1/8/2023,1
147,2,1/8/2023,3
148,32,1/8/2023,0
149,5,1/8/2023,4
150,22,1/8/2023,8
151,2,1/8/2023,1
152,25,1/8/2023,0
153,20,1/8/2023,4
154,42,1/8/2023,1
155,22,1/8/2023,2
156,50,1/8/2023,2
157,1,1/8/2023,8
158,27,1/8/2023,8
159,43,1/8/2023,6
160,14,1/8/2023,1
161,50,1/8/2023,0
162,8,1/8/2023,4
163,40,1/8/2023,8
164,33,1/8/2023,4
165,25,1/8/2023,6
